image,label,image_path,label_id,fold
images/0.jpg,maclura_pomifera,images/0.jpg,78,3
images/1.jpg,maclura_pomifera,images/1.jpg,78,0
images/2.jpg,maclura_pomifera,images/2.jpg,78,2
images/3.jpg,maclura_pomifera,images/3.jpg,78,2
images/4.jpg,maclura_pomifera,images/4.jpg,78,0
images/5.jpg,maclura_pomifera,images/5.jpg,78,2
images/6.jpg,ulmus_rubra,images/6.jpg,174,4
images/7.jpg,broussonettia_papyrifera,images/7.jpg,28,3
images/8.jpg,maclura_pomifera,images/8.jpg,78,0
images/9.jpg,broussonettia_papyrifera,images/9.jpg,28,4
images/10.jpg,maclura_pomifera,images/10.jpg,78,0
images/11.jpg,prunus_virginiana,images/11.jpg,130,3
images/12.jpg,maclura_pomifera,images/12.jpg,78,1
images/13.jpg,prunus_virginiana,images/13.jpg,130,4
images/14.jpg,broussonettia_papyrifera,images/14.jpg,28,1
images/15.jpg,maclura_pomifera,images/15.jpg,78,2
images/16.jpg,maclura_pomifera,images/16.jpg,78,1
images/17.jpg,broussonettia_papyrifera,images/17.jpg,28,3
images/18.jpg,maclura_pomifera,images/18.jpg,78,1
images/19.jpg,ulmus_rubra,images/19.jpg,174,1
images/20.jpg,maclura_pomifera,images/20.jpg,78,1
images/21.jpg,maclura_pomifera,images/21.jpg,78,2
images/22.jpg,prunus_virginiana,images/22.jpg,130,1
images/23.jpg,broussonettia_papyrifera,images/23.jpg,28,1
images/24.jpg,maclura_pomifera,images/24.jpg,78,1
images/25.jpg,broussonettia_papyrifera,images/25.jpg,28,3
images/26.jpg,ulmus_rubra,images/26.jpg,174,3
images/27.jpg,prunus_virginiana,images/27.jpg,130,4
images/28.jpg,maclura_pomifera,images/28.jpg,78,2
images/29.jpg,ulmus_rubra,images/29.jpg,174,1
images/30.jpg,prunus_virginiana,images/30.jpg,130,2
images/31.jpg,acer_rubrum,images/31.jpg,10,4
images/32.jpg,broussonettia_papyrifera,images/32.jpg,28,4
images/33.jpg,maclura_pomifera,images/33.jpg,78,1
images/34.jpg,cryptomeria_japonica,images/34.jpg,58,0
images/35.jpg,maclura_pomifera,images/35.jpg,78,4
images/36.jpg,maclura_pomifera,images/36.jpg,78,1
images/37.jpg,acer_rubrum,images/37.jpg,10,2
images/38.jpg,maclura_pomifera,images/38.jpg,78,3
images/39.jpg,acer_rubrum,images/39.jpg,10,1
images/40.jpg,ulmus_rubra,images/40.jpg,174,4
images/41.jpg,maclura_pomifera,images/41.jpg,78,2
images/42.jpg,acer_rubrum,images/42.jpg,10,1
images/43.jpg,acer_rubrum,images/43.jpg,10,1
images/44.jpg,cryptomeria_japonica,images/44.jpg,58,3
images/45.jpg,acer_rubrum,images/45.jpg,10,0
images/46.jpg,broussonettia_papyrifera,images/46.jpg,28,2
images/47.jpg,prunus_virginiana,images/47.jpg,130,4
images/48.jpg,prunus_virginiana,images/48.jpg,130,3
images/49.jpg,broussonettia_papyrifera,images/49.jpg,28,3
images/50.jpg,prunus_virginiana,images/50.jpg,130,1
images/51.jpg,prunus_virginiana,images/51.jpg,130,4
images/52.jpg,broussonettia_papyrifera,images/52.jpg,28,4
images/53.jpg,acer_rubrum,images/53.jpg,10,1
images/54.jpg,prunus_virginiana,images/54.jpg,130,1
images/55.jpg,broussonettia_papyrifera,images/55.jpg,28,1
images/56.jpg,maclura_pomifera,images/56.jpg,78,3
images/57.jpg,maclura_pomifera,images/57.jpg,78,4
images/58.jpg,broussonettia_papyrifera,images/58.jpg,28,0
images/59.jpg,ulmus_rubra,images/59.jpg,174,2
images/60.jpg,acer_rubrum,images/60.jpg,10,3
images/61.jpg,cryptomeria_japonica,images/61.jpg,58,0
images/62.jpg,broussonettia_papyrifera,images/62.jpg,28,0
images/63.jpg,prunus_virginiana,images/63.jpg,130,2
images/64.jpg,staphylea_trifolia,images/64.jpg,160,4
images/65.jpg,maclura_pomifera,images/65.jpg,78,0
images/66.jpg,prunus_virginiana,images/66.jpg,130,3
images/67.jpg,maclura_pomifera,images/67.jpg,78,2
images/68.jpg,acer_rubrum,images/68.jpg,10,2
images/69.jpg,acer_rubrum,images/69.jpg,10,2
images/70.jpg,acer_rubrum,images/70.jpg,10,2
